region,date,symbols_requested,downloaded,failed_download,empty_history,stale_last_bar,insufficient_history,eligible_latest,failed_symbols,stale_symbols
europe,2026-07-13,487,472,0,15,0,0,410,,
us,2026-07-13,5331,5330,0,1,0,429,2619,,
europe,2026-07-14,487,472,0,15,0,0,410,,
us,2026-07-14,5328,5325,0,3,0,424,2618,,
us,2026-07-15,5327,5309,0,18,0,422,2610,,
europe,2026-07-16,487,472,0,15,0,0,411,,
us,2026-07-16,5326,5325,0,1,0,426,2609,,
europe,2026-07-17,487,472,0,15,0,0,413,,
us,2026-07-17,5328,5326,0,2,0,425,2610,,
us,2026-07-20,5330,5329,0,1,0,429,2611,,
europe,2026-07-21,487,472,0,15,0,0,412,,
us,2026-07-21,5327,5326,0,1,0,427,2613,,
europe,2026-07-22,487,472,0,15,0,0,412,,
us,2026-07-22,5325,5324,0,1,0,429,2605,,
europe,2026-07-23,487,471,0,16,0,0,411,,
us,2026-07-23,5324,5323,0,1,0,426,2602,,
europe,2026-07-24,487,472,0,15,0,0,412,,
